date	ouv	haut	bas	clot	vol	devise	
25/11/2013 00:00	109	111.66	108.05	110.9	270485	USD	
26/11/2013 00:00	111.08	111.49	110.41	111.06	187238	USD	
27/11/2013 00:00	111	111.65	110.51	111.46	181435	USD	
28/11/2013 00:00	111.4	111.55	110.61	110.95	56667	USD	
29/11/2013 00:00	111.04	111.5	109.62	110.11	120889	USD	
02/12/2013 00:00	109.6	112.34	109.28	111.44	259151	USD	
03/12/2013 00:00	111.53	112.93	111.04	112.82	206999	USD	
04/12/2013 00:00	112.91	113.02	111.46	111.54	227296	USD	
05/12/2013 00:00	111.65	112.23	110.76	111.09	185702	USD	
06/12/2013 00:00	111.07	112.06	110.94	111.66	148245	USD	
09/12/2013 00:00	111.69	111.79	109.02	109.09	193286	USD	
10/12/2013 00:00	109.31	110.45	108.55	109.42	218712	USD	
11/12/2013 00:00	109.45	109.89	108.62	109.8	152021	USD	
12/12/2013 00:00	109.52	109.98	108.44	108.49	124757	USD	
13/12/2013 00:00	108.53	109	108.02	108.74	95020	USD	
16/12/2013 00:00	109.15	110.8	109	110.46	21756	USD	
17/12/2013 00:00	109.2	109.41	108.2	108.33	142542	USD	
18/12/2013 00:00	108.33	109.73	107.8	109.35	180121	USD	
19/12/2013 00:00	109.25	110.53	109.14	110.15	151506	USD	
20/12/2013 00:00	110.09	111.89	109.87	111.81	159704	USD	
23/12/2013 00:00	111.55	111.93	111.27	111.64	96528	USD	
24/12/2013 00:00	111.61	112.06	111.42	112	49272	USD	
27/12/2013 00:00	111.95	112.8	111.5	112.11	123458	USD	
30/12/2013 00:00	112.2	112.64	110.9	111.24	105152	USD	
31/12/2013 00:00	111.18	111.52	110.4	110.9	78856	USD	
02/01/2014 00:00	111	111.35	107.65	107.78	192529	USD	
03/01/2014 00:00	107.88	108.64	106.79	107.02	178859	USD	
06/01/2014 00:00	106.8	107.96	106.58	107.05	168127	USD	
07/01/2014 00:00	107.03	107.72	106.88	107.47	156659	USD	
08/01/2014 00:00	107.49	107.95	107	107.46	169246	USD	
09/01/2014 00:00	107.35	108.2	106.12	106.43	168871	USD	
10/01/2014 00:00	106.44	107.5	106.03	107.49	190733	USD	
13/01/2014 00:00	107.25	107.64	106.5	106.5	148365	USD	
14/01/2014 00:00	106.62	107.14	106.06	106.14	108724	USD	
15/01/2014 00:00	106.17	107.55	105.8	107.04	65621	USD	
16/01/2014 00:00	106.82	107.35	106.44	107.06	14562	USD	
17/01/2014 00:00	105.55	106.95	105.44	106.29	188419	USD	
20/01/2014 00:00	106.28	106.65	105.81	106.3	96060	USD	
21/01/2014 00:00	106.35	108	106.28	106.86	230521	USD	
22/01/2014 00:00	106.9	108.33	106.78	108.15	174671	USD	
23/01/2014 00:00	108.14	108.28	107.37	107.52	216502	USD	
24/01/2014 00:00	107.58	108.03	106.23	107.89	231749	USD	
27/01/2014 00:00	107.91	108.09	106.45	107.01	196164	USD	
28/01/2014 00:00	106.86	107.79	106.76	107.5	182542	USD	
29/01/2014 00:00	107.36	108.05	106.93	107.7	200131	USD	
30/01/2014 00:00	107.85	108.4	107.65	107.88	177946	USD	
31/01/2014 00:00	107.75	107.94	106.31	106.33	217206	USD	
03/02/2014 00:00	106.4	106.72	105.4	106.15	253231	USD	
04/02/2014 00:00	105.85	106.23	105.49	106	173555	USD	
05/02/2014 00:00	106.09	106.44	105.58	106.15	179310	USD	
06/02/2014 00:00	106.28	107.44	106.15	107.44	194778	USD	
07/02/2014 00:00	107.32	109.74	106.88	109.58	204003	USD	
10/02/2014 00:00	109.75	109.75	108.48	108.52	157012	USD	
11/02/2014 00:00	108.52	109.24	108.47	108.72	131092	USD	
12/02/2014 00:00	108.78	109.5	108.47	108.57	103566	USD	
13/02/2014 00:00	108.68	108.84	108.09	108.7	16001	USD	
14/02/2014 00:00	108.58	109.25	107.85	109.07	142273	USD	
17/02/2014 00:00	109.13	109.4	108.64	109.07	52241	USD	
18/02/2014 00:00	109.07	110.61	108.84	110.61	141245	USD	
19/02/2014 00:00	110.55	110.82	110.02	110.52	156908	USD	
20/02/2014 00:00	110.39	110.46	109.58	110.41	140011	USD	
21/02/2014 00:00	110.5	110.5	109.35	109.76	145368	USD	
24/02/2014 00:00	109.65	110.77	109.5	110.7	191232	USD	
25/02/2014 00:00	110.64	110.64	109.42	109.63	186512	USD	
26/02/2014 00:00	109.56	109.97	109.2	109.46	168182	USD	
27/02/2014 00:00	109.41	109.45	108.65	108.91	183727	USD	
28/02/2014 00:00	108.85	109.34	108.4	109.09	178437	USD	
03/03/2014 00:00	109.44	112.39	109.26	111.19	263425	USD	
04/03/2014 00:00	111.16	111.32	109.02	109.1	208592	USD	
05/03/2014 00:00	109.17	109.36	107.55	107.71	212370	USD	
06/03/2014 00:00	107.66	108.54	107.37	108.37	217213	USD	
07/03/2014 00:00	108.3	109.09	107.82	108.72	161704	USD	
10/03/2014 00:00	108.73	108.85	107.75	107.94	141564	USD	
11/03/2014 00:00	107.88	108.7	107.83	108.32	138765	USD	
12/03/2014 00:00	108.41	108.55	107.61	108.3	157404	USD	
13/03/2014 00:00	108.26	108.51	106.98	107.42	82789	USD	
14/03/2014 00:00	107.25	108.69	107.24	108.54	12490	USD	
17/03/2014 00:00	108.55	108.6	106.16	106.44	160479	USD	
18/03/2014 00:00	106.4	106.85	105.85	106.72	162763	USD	
19/03/2014 00:00	106.6	106.87	105.71	105.87	182145	USD	
20/03/2014 00:00	105.9	106.75	105.41	106.15	194147	USD	
21/03/2014 00:00	106.22	107.77	106.01	107.1	159308	USD	
24/03/2014 00:00	107.01	107.5	106.45	106.6	137012	USD	
25/03/2014 00:00	106.59	107.48	106.44	106.95	161146	USD	
26/03/2014 00:00	106.97	107.35	106.48	107	158915	USD	
27/03/2014 00:00	107	107.99	106.77	107.65	171950	USD	
28/03/2014 00:00	107.73	108.39	107.62	107.97	134094	USD	
31/03/2014 00:00	108	108.33	107.05	107.7	140095	USD	
01/04/2014 00:00	107.66	107.8	105.1	105.38	184706	USD	
02/04/2014 00:00	105.32	105.85	103.95	104.72	258954	USD	
03/04/2014 00:00	104.59	106.32	104.45	106.28	210901	USD	
04/04/2014 00:00	106.17	107.04	106.1	106.64	179530	USD	
07/04/2014 00:00	106.35	106.63	105.13	106.03	208772	USD	
08/04/2014 00:00	105.97	107.85	105.78	107.54	186681	USD	
09/04/2014 00:00	107.5	108.14	107.12	107.8	134622	USD	
10/04/2014 00:00	107.9	107.92	107.26	107.37	122203	USD	
11/04/2014 00:00	107.35	107.87	106.98	107.13	101708	USD	
14/04/2014 00:00	107.42	109.12	107.26	108.93	93779	USD	
15/04/2014 00:00	108.92	109.11	108.27	108.72	19345	USD	
16/04/2014 00:00	109.43	110.36	109	109.54	217498	USD	
17/04/2014 00:00	109.6	110.19	109.08	109.65	156373	USD	
22/04/2014 00:00	109.94	109.99	108.53	109.5	193363	USD	
23/04/2014 00:00	109.5	109.54	108.6	109.21	174081	USD	
24/04/2014 00:00	109.22	110.65	109.07	110.33	203284	USD	
25/04/2014 00:00	110.33	110.63	109.25	109.46	206795	USD	
28/04/2014 00:00	109.5	110.2	107.86	108.16	234352	USD	
29/04/2014 00:00	108.13	109.37	108	108.85	199276	USD	
30/04/2014 00:00	108.8	108.8	107.55	108.15	198445	USD	
02/05/2014 00:00	107.72	108.95	107.6	108.6	203022	USD	
05/05/2014 00:00	108.92	108.92	107.05	107.5	134382	USD	
06/05/2014 00:00	107.53	108.21	106.97	107.03	185050	USD	
07/05/2014 00:00	107.17	108.25	106.96	108.13	204336	USD	
08/05/2014 00:00	108.07	108.15	107.38	108.02	156162	USD	
09/05/2014 00:00	108.08	109.02	107.64	107.93	166605	USD	
12/05/2014 00:00	107.94	108.77	107.94	108.41	137349	USD	
13/05/2014 00:00	108.37	109.39	108.05	109.39	125378	USD	
14/05/2014 00:00	109.39	110.41	109.32	110.21	110546	USD	
15/05/2014 00:00	110.21	110.6	109.75	110.43	20143	USD	
16/05/2014 00:00	108.96	110.05	108.88	109.74	217224	USD	
19/05/2014 00:00	109.82	110.33	109.31	109.38	159490	USD	
20/05/2014 00:00	109.33	110	109.1	109.87	156280	USD	
21/05/2014 00:00	109.76	110.73	109.7	110.47	194807	USD	
22/05/2014 00:00	110.49	111.04	110.17	110.38	190394	USD	
23/05/2014 00:00	110.38	110.7	110.25	110.58	137498	USD	
26/05/2014 00:00	110.4	110.55	109.75	110.39	27463	USD	
27/05/2014 00:00	110.35	110.8	109.71	110.18	168589	USD	
28/05/2014 00:00	110.22	110.4	109.41	109.98	166432	USD	
29/05/2014 00:00	109.89	110.46	109.72	110.11	159637	USD	
30/05/2014 00:00	110.02	110.13	109.22	109.56	163395	USD	
02/06/2014 00:00	109.7	109.87	108.62	108.78	184751	USD	
03/06/2014 00:00	108.8	108.98	108.32	108.83	172059	USD	
04/06/2014 00:00	108.89	109.5	108.25	108.33	195989	USD	
05/06/2014 00:00	108.13	108.94	107.77	108.9	180022	USD	
06/06/2014 00:00	108.85	109.31	108.46	108.77	149348	USD	
09/06/2014 00:00	108.68	110.16	108.55	109.9	179931	USD	
10/06/2014 00:00	109.95	110.32	109.1	109.63	204339	USD	
11/06/2014 00:00	109.61	110.25	109.44	110.1	126291	USD	
12/06/2014 00:00	110.09	113.34	110	113.23	123079	USD	
13/06/2014 00:00	113.75	114.69	112.75	113.5	15509	USD	
16/06/2014 00:00	112.73	113.28	112.33	113.01	167541	USD	
17/06/2014 00:00	112.97	113.8	112.16	113.38	229399	USD	
18/06/2014 00:00	113.46	114.54	113.05	114.24	233278	USD	
19/06/2014 00:00	114.22	115.71	114.15	115.01	241734	USD	
20/06/2014 00:00	114.92	115.11	114.43	114.7	188913	USD	
